val_map,val_precision,val_recall,val_f1
0.791605963,0.73208234,0.772283902,0.751645963
0.796176648,0.715043826,0.776249009,0.744390435
0.794552659,0.712504031,0.778628073,0.744099921
0.793593295,0.700925704,0.778628073,0.737736524
0.797477059,0.693706964,0.780214116,0.734421908
0.793975819,0.720192766,0.777835052,0.747904907
0.792242598,0.709757689,0.77704203,0.741877401
0.789236654,0.718361977,0.774662966,0.745450935
0.796800426,0.705532444,0.781007137,0.741353787
0.791065153,0.709759163,0.776249009,0.741516577
0.792717721,0.714027626,0.77704203,0.744203296
0.796063935,0.718460808,0.778628073,0.747335394
0.800097384,0.700598981,0.781007137,0.738621146
0.796326451,0.691882652,0.78259318,0.734447636
0.79651291,0.708840752,0.781007137,0.743176119
0.795180936,0.716625056,0.778628073,0.746341038
0.791329068,0.727304685,0.776249009,0.750980219
0.796157871,0.719291619,0.774662966,0.745951162
0.793795255,0.713533852,0.77704203,0.743935011
0.790847424,0.69943054,0.779421094,0.737262487
0.788415305,0.719906445,0.777835052,0.747750487
0.795497281,0.712661638,0.777835052,0.74382346
0.795954824,0.717322659,0.778628073,0.74671919
0.797008571,0.711631179,0.780214116,0.744346204
0.797154528,0.70505951,0.780214116,0.740735408
0.799767511,0.707004659,0.778628073,0.741089858
0.797127493,0.709878895,0.774662966,0.740857371
0.796898778,0.720063844,0.776249009,0.747101576
0.797083887,0.70961163,0.778628073,0.742519548
0.794741054,0.713101826,0.780214116,0.745149898
0.79742724,0.708920275,0.778628073,0.74214089
0.798046747,0.699875618,0.779421094,0.737509677
0.794921902,0.711006076,0.779421094,0.743643359
0.796604106,0.713925811,0.778628073,0.744874519
0.796041057,0.712072295,0.776249009,0.742776996
0.795801937,0.714189863,0.774662966,0.743198289
0.799616238,0.704035365,0.777835052,0.739097533
0.797798944,0.712057903,0.77704203,0.743132017
0.794197767,0.708637751,0.77704203,0.741265142
0.797712404,0.71292321,0.779421094,0.744690601
0.796717259,0.704376607,0.779421094,0.740001127
0.794368046,0.710901879,0.778628073,0.743225283
0.794436352,0.710345922,0.778628073,0.742921338
0.794419048,0.717108329,0.777835052,0.746238288
0.795431347,0.710189388,0.780214116,0.74355674
0.794211901,0.707817729,0.776249009,0.740455664
