val_map,val_precision,val_recall,val_f1,
0.81805,0.82103,0.75498,0.786620934,
0.8069,0.81018,0.74264,0.774941172,
0.81561,0.83724,0.73352,0.781955594,
0.81183,0.77434,0.7807,0.777506994,
0.81832,0.79276,0.77208,0.782283353,
0.82059,0.81466,0.76124,0.787044582,
0.81868,0.82264,0.76257,0.791466853,
0.81689,0.7838,0.78123,0.78251289,
0.81193,0.7812,0.7786,0.779897833,
0.81588,0.79844,0.7669,0.782352251,
0.81384,0.71951,0.81776,0.765495323,
0.8142,0.79301,0.7594,0.775841168,
0.81949,0.8184,0.75404,0.784902872,
0.81666,0.80995,0.75205,0.779926885,
0.82074,0.78002,0.76161,0.770705075,
0.81828,0.80485,0.75766,0.780542398,
0.81716,0.81402,0.74698,0.779060422,
0.81418,0.84944,0.71326,0.775416362,
0.81852,0.84736,0.72012,0.778575654,
0.81789,0.82095,0.73464,0.775400598,
0.81945,0.80251,0.75593,0.778523888,
0.81498,0.80745,0.7441,0.774481705,
0.81472,0.73738,0.80356,0.769048857,
0.81515,0.77923,0.76986,0.774516662,
0.81387,0.79177,0.75819,0.774616243,
0.81352,0.77949,0.76039,0.769821546,
0.81101,0.78326,0.75329,0.767982722,
0.81511,0.77696,0.77129,0.774114618,
0.81797,0.78265,0.75354,0.76781919,
0.81704,0.82912,0.72138,0.771506721,
0.81842,0.83381,0.72456,0.775355498,
0.81652,0.83582,0.7283,0.778364455,
0.8179,0.82076,0.73547,0.775777818,
0.81536,0.77865,0.75806,0.76821706,
0.81063,0.78153,0.75719,0.769167491,
0.81242,0.80797,0.73573,0.770159705,
0.81256,0.80218,0.74676,0.773478555,
0.81329,0.79872,0.74697,0.7719787,
0.81393,0.82387,0.72422,0.770837783,
0.81246,0.81585,0.73286,0.772131427,
0.81273,0.80813,0.73298,0.768722709,
0.81165,0.80161,0.73531,0.767029968,
0.81133,0.78924,0.75317,0.770783243,
0.81236,0.81028,0.73172,0.768998809,
0.81208,0.81969,0.73691,0.776098879,
0.81267,0.82072,0.7364,0.776276983,
0.81131,0.80833,0.737,0.77101876,
0.81239,0.81097,0.737,0.772217666,
0.81288,0.81931,0.72819,0.771067333,
0.80988,0.79076,0.74775,0.768653814,
0.80812,0.78676,0.75357,0.769807422,
0.80843,0.79601,0.75253,0.773659583,
0.80975,0.7985,0.73819,0.767161516,
0.80858,0.79133,0.74069,0.765173063,
0.80769,0.79419,0.74041,0.766357641,
0.80877,0.79958,0.74061,0.768966094,
0.80823,0.76523,0.75029,0.757686361,
0.80824,0.82904,0.70878,0.764207737,
0.80856,0.76695,0.75787,0.762382965,
0.80784,0.77798,0.74729,0.762326243,
0.80814,0.82287,0.71453,0.76488266,
0.80818,0.82034,0.71141,0.762001736,
0.80722,0.82905,0.70659,0.762937198,
0.8075,0.83264,0.70382,0.762829732,
0.8071,0.83538,0.70419,0.764195512,
0.80662,0.82482,0.7071,0.761436918,
0.80571,0.73549,0.78675,0.760256934,
0.80553,0.7287,0.79313,0.759551108,
